t mart.s0 mart.sn aust.s0 aust.sn
3.471736e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.476738e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.481741e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.486743e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.491746e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.496748e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.501751e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.506753e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.511756e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.516758e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.521761e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.526763e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.531766e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.536768e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
